
3.30330e+00   −3.24809e-02   1.71647e-04   −4.15214e-07   4.42279e-10   −1.64635e-13 
9.56919e-01    6.51225e-04   −4.02601e-06   1.04369e-08   −1.13916e-11   4.35036e-15 
2.56604e-04   −3.82735e-06   2.39133e-08   −6.28410e-11   6.92881e-14   −2.67375e-17 
−6.51553e-07   9.23475e-09   −5.73017e-11   1.50925e-13   −1.66960e-16   6.47106e-20 
7.14946e-10   −9.69040e-12   5.96375e-14   −1.56947e-16   1.73795e-19   −6.75174e-23 
−2.79985e-13   3.67357e-15   −2.24523e-17   5.89872e-20   −6.53292e-23   2.54179e-26 
   
1.42582e+01    9.41488e-01   2.18931e-04   −5.22009e-07   6.23837e-10   −2.70063e-13 
−5.40761e-02   6.07982e-04   −3.77042e-06   9.95836e-09   −1.15149e-11   4.81094e-15 
0.000191206   −3.30812e-06   2.08871e-08   −5.49720e-11   6.29836e-14   −2.60687e-17 
−3.77292e-07   7.52945e-09   −4.79591e-11   1.26167e-13   −1.44296e-16   5.96523e-20 
3.80158e-10   −7.67197e-12   4.89736e-14   −1.28818e-16   1.47450e-19   −6.10716e-23 
−1.42414e-13   2.88797e-15   −1.84127e-17   4.84259e-20   −5.55290e-23   2.30676e-26 
    
-1.49018e+00   1.07896e-03   1.57155e-05   −4.13557e-08   3.27833e-11   −8.19736e-15 
9.93247e-01    6.31284e-05   −4.91790e-07   1.18236e-09   −1.03838e-12   2.99391e-16 
8.41072e-05   −5.02536e-07   3.61158e-09   −8.97672e-12   8.16102e-15   −2.40618e-18 
−2.42011e-07   1.44899e-09   −1.03877e-11   2.65441e-14   −2.48127e-17   7.50551e-21 
2.74100e-10   −1.79337e-12   1.29831e-14   −3.36450e-17   3.20101e-20   −9.88390e-24 
−1.10542e-13   8.03376e-16   −5.82388e-18   1.51399e-20   −1.45466e-23   4.55593e-27 

1.17133e+01    9.88950e-01   −5.97344e-05   1.98457e-07   −2.06889e-10   7.90131e-14 
−6.68061e-03  −3.01784e-04   1.63966e-06   −3.76719e-09   3.90648e-12   −1.50652e-15 
-6.09404e-05   1.72898e-06   −9.59428e-09   2.21625e-11   −2.30184e-14   8.88496e-18 
1.92937e-07   −4.21968e-09   2.39915e-11   −5.58094e-14   5.78653e-17   −2.22094e-20 
−2.04690e-10   4.55594e-12   −2.63308e-14   6.15381e-17   −6.36298e-20   2.42601e-23 
7.95641e-14   -1.77333e-15   1.03499e-17   −2.42680e-20   2.50371e-23   −9.49402e-27 
